130498,NL69ABNA0433647324,Tickets for Peter Theuß,26.9,-18.78,8.12,Unique,End Balance is Correct
167875,NL93ABNA0585619023,Tickets from Erik de Vries,5429,-939,6368,Unique,End balance is Wrong
147674,NL93ABNA0585619023,Subscription from Peter Dekker,74.69,-44.91,29.78,Unique,End Balance is Correct
135607,NL27SNSB0917829871,Subscription from Peter Theuß,70.42,34.42,104.84,Unique,End Balance is Correct
169639,NL43AEGO0773393871,Tickets for Rik de Vries,31.78,-6.14,25.64,Unique,End Balance is Correct
105549,NL43AEGO0773393871,Flowers from Peter de Vries,105.75,-26.17,79.58,Unique,End Balance is Correct
150438,NL74ABNA0248990274,Tickets from Richard de Vries,10.1,-0.3,9.8,Unique,End Balance is Correct
172833,NL69ABNA0433647324,Tickets for Willem Theuß,66.72,-41.74,24.98,Unique,End Balance is Correct
165102,NL93ABNA0585619023,Tickets for Rik Theuß,3980,1000,4981,Unique,End balance is Wrong
170148,NL43AEGO0773393871,Flowers for Jan Theuß,16.52,43.09,59.61,Unique,End Balance is Correct
